name,post_office,description,menu,address,phone,hours,page
영남식육식당 동래점,동래우체국,입에서 살살 녹는 한우의 맛을 느낄 수 있는 질 좋은 고기로 소문난 맛집!,"깍둑등심 110g \40,000ㅣ소금정식 110g \36,000ㅣ양념진갈비 150g \33,000",부산광역시 동래구 명륜로112번가길 51,0507-1332-2228,11:40-15:00 / 16:30-22:30 22:00 라스트오더,7
명륜고려삼계탕,동래우체국,한방재료 액기스로 정성스럽게 만든 보양식 맛집!,"한방삼계탕 \15,000",부산광역시 동래구 동래로79번길 24,051-556-7770,10:30-21:00 일요일 휴무,7
카페유니,동래우체국,브런치 및 디저트 메뉴가 맛있는 분위기 좋은 카페,"커피 \4,000~ㅣ디저트 \5,000~",부산광역시 동래구 동래로 67-2,051-555-8399,11:00-21:00 연중무휴,8
여섯개장,동래우체국,신선한 야채와 좋은 품질의 한우로 만든 든든한 한끼!,"육개장 칼국수 \8,000ㅣ한우 육개장 \12,000",부산광역시 동래구 동래로 63,051-553-6610,10:00-20:00,8
더라이스,동래우체국,첨가물 없는 촉촉하고 부드러운 여러 특별한 메뉴가 있는 쌀 빵 맛집!,"소금빵 \3,000ㅣ쌀샌드위치 \8,900ㅣ비건쌀식빵 \7,200ㅣ꿀찰빵 \2,800ㅣ수제마카롱 \2,500",부산광역시 동래구 동래로79번길 26,070-7576-2345,09:30-19:00 일요일 휴무,8
밀양뚝배기,동래우체국,따뜻한 국물이 생각날 땐 맛있는 국밥에 콩나물이 들어간 밀양뚝배기!,"소머리곰탕 \9,000ㅣ돼지국밥 \8,000",부산광역시 동래구 동래로57번길 7,051-555-8985,10:00-22:00 일요일 휴무,8
수막창닭발,동래우체국,양도 많고 가격도 저렴한 고소한 막창 맛집!,"막창 120g \9,000ㅣ뼈없는불닭발 \15,000",부산광역시 동래구 명안로86번길 7,010-2995-1288,16:00-24:00,9
소문난 손칼국수,동래우체국,명장시장에 위치한 진한 국물이 일품인 칼국수 맛집!,"칼국수 \5,000ㅣ진칼국수 \5,500",부산광역시 동래구 명안로86번길 17,051-524-0419,11:00-19:00 일요일 휴무,9
황령산 보쌈,남부산우체국(부산 남구 수영구 지역),사장님 손맛 가득한 고소 담백 푸짐한 보쌈 맛집!,"보쌈 \29,000 / \37,000 / \45,000",부산광역시 수영구 황령산로8,051-627-1321,화-일 11:30-22:30 월요일 휴무,9
스위스제과,남부산우체국(부산 남구 수영구 지역),광안리 빵천동에서 가장 오래된 맛있는 빵집,"밤식빵 \5,900ㅣ레몬파운드 \3,800ㅣ케익 \29,000~",부산광역시 수영구 광남로 45,051-623-5885,06:30-24:00,9
구름고개카페,남부산우체국(부산 남구 수영구 지역),힐링이 필요할때 찾게되는 황령산에 위치한 뷰가 멋진 카페,"카페라떼 \6,500ㅣ아메리카노 \6,000ㅣ허브티 \6,500",부산광역시 남구 황령산로 260,051-627-8685,11:00-22:30,10
강원도물회,남부산우체국(부산 남구 수영구 지역),신선한 회와 가격을 사로잡은 물회가 맛있는 동네 맛집!,"물회 \16,000ㅣ모듬회 \50,000",부산광역시 남구 못골로 78,051-611-9234,11:00-22:00,10
메그네이트,남부산우체국(부산 남구 수영구 지역),여러나라 아미들이 즐겨찾는 부산의 필수코스 BTS 지민의 아버지가 운영하는 핫플!,"아메리카노 \5,000ㅣ아인슈페너 \7,000ㅣ아몬드크림라떼 \6,500",부산광역시 남구 진남로 135 B동 1층,051-635-5005,10:00-21:50 21:20 라스트오더,10
구자윤 과자점,남부산우체국(부산 남구 수영구 지역),대한민국 제과 제빵의 명인 구자윤 과자점 본점! 생크림 팡도르가 시그니쳐!,"생크림팡도르 ₩6,800ㅣ소금빵 ₩2,000ㅣ단팥빵 ₩2,500",부산광역시 수영구 705번길 15,051-752-4811,08:00-23:00,10
수연이네,부산사상우체국,부드럽고 쫄깃한 문어숙회와 신선한 재료들의 향연 웨이팅 주의!,"문어숙회 \29,000~ㅣ문어튀김 \39,000ㅣ랍스터 코스 2인 \95,000~",부산광역시 사상구 학장로 318-1,051-316-2788,12:00-24:00 일요일 정기휴무,11
호포장어마을,부산사상우체국,고소하고 담백한 장어 한점과 다양한 장아찌로 쌈을 싸서 한입 꿀꺽! 연중 만석!,"민물장어구이 1인분 \32,000ㅣ바다장어구이 1인분 \25,000ㅣ민물장어 곰탕 \14,000",부산광역시 사상구 광장로 28,0507-1372-0737,11:30-15:00 15:30-21:00 일요일 휴무,11
춘하추동,부산사상우체국,푸짐한 양과 넉넉한 인심으로 푸짐하게 썰어주는 싱싱한 횟집!,"모듬회 \40,000~",부산광역시 사상구 사상로202번길 39,051-303-7735,11:00-22:00,11
설화회초밥,부산사상우체국,각종 모임 등 회식하기에도 좋은 깔끔한 회 코스 맛집!,"회 코스 \32,000~",부산광역시 사상구 새벽로 218,051-904-3004,11:30-22:00 일요일 휴무,11
순풍삼계탕,부산사상우체국,한국인의 따뜻한 보양식 몸에 좋은 괘법동 삼계탕 맛집!,"삼계탕 \15,000ㅣ전복삼계탕 \19,000",부산광역시 사상구 사상로181번길 35,0507-1363-6622,10:00-22:00,12
송스베이커리,부산금정우체국,소금빵을 1인당 10개만 판매하며 가성비 미니케이크가 있는 소문난 빵 맛집,"소금빵 \1,800ㅣ미니생크림케이크 \18,000",부산광역시 금정구 수림로 26,051-518-0303,08:00-22:00 명절 당일 휴무,12
유림정,부산금정우체국,회동저수지에 위치한 입안에서 살살 녹는 소고기 맛집!,"한우모듬 150g \28,000ㅣ한우특선 140g \30,500",부산광역시 금정구 상현로79번길 26,051-518-1189,11:00-21:00 유동적 휴무,12
북문국수,부산금정우체국,‘금정산성’하면 떠오르는 촌국수 그 집!,"촌국수 \5,000ㅣ비빔국수 \6,000ㅣ해물파전 \15,000",부산광역시 금정구 북문로 53,051-517-6626,11:00-16:00,12
가마실,부산금정우체국,고소한 맛 가격 대비 퀄리티가 우수한 소고기 맛집!,"차돌박이 100g \14,000ㅣ대패등심 100g \17,000ㅣ특모듬 300g \75,000",부산광역시 금정구 부곡로 94-1 동호빌딩 1층,051-911-7829,11:30-22:30 일요일 휴무,13
따신밥,부산금정우체국,부산대학교 대학로에 위치한 따뜻하고 든든한 돌솥밥 맛집,"돌솥비빔밥 \5,500ㅣ매운닭돌솥밥 \6,000",부산광역시 금정구 부산대학로63번길 19,051-512-7621,11:30-15:00 / 16:30-20:30 토·일요일 휴무,13
국수가,부산금정우체국,가성비 좋은 오래된 가정집 맛 국수집!,"물국수 \5,000ㅣ칼국수 \6,000ㅣ추어탕 \8,000",부산광역시 금정구 수림로20번길 9,051-514-8118,11:00-14:30 / 17:00-20:00 일요일 휴무,13
광식당,부산사하우체국,두툼한 숙성회 신선한 초밥과 바삭한 돈까스! 예약은 필수~,"점심특선 \9,500~ㅣ코스요리 1인 \40,000~",부산광역시 사하구 하신번영로167번길 65 1층,0507-1319-1313,11:00-14:00 17:00-22:00 20:00 라스트오더 일요일 휴무,13
오사카,부산사하우체국,"일본식 라면과 함박스테이크, 고로케에 빠져 재방문하게 만드는 일식당","돈까스카레 \8,500ㅣ함박카레 \8,500ㅣ코로케카레 \7,500ㅣ소유라멘 \7,000",부산광역시 사하구 낙동대로 324번길 2,051-205-8408,11:30-15:00 17:00-21:00 20:30 라스트오더,14
뚱땡이삼겹살,부산사하우체국,고소한 대패삼겹살과 매콤한 쭈꾸미의 환상 조합!,"대패삼겹살 100g \3,900ㅣ쭈꾸미 300g \11,000",부산광역시 사하구 신산로 187,051-204-2354,11:30-22:30 화요일 휴무,14
남해영양보리밥,부산사하우체국,건강하고 영양 가득한 몸에 좋은 보리밥 맛집!,"영양보리밥 \7,000",부산광역시 사하구 제석로18번길 70,051-206-6336,11:00-20:00,14
해운대 하선집,해운대우체국,국내산 돼지갈비만 사용하는 숯불돼지갈비 전문점으로 구워줘서 더 맛있는 집!,"양념돼지갈비220g \18,000ㅣ생돼지갈비180g \18,000ㅣ점심특선 한우육회비비밤 1인 \16,000",부산광역시 해운대구 좌동순환로 395 1층,0507-1340-1139,11:30-22:00 21:00 라스트오더,14
식당3선 센텀점,해운대우체국,구워져 나오는 양념갈비와 고급스러운 느낌으로 대히트를 친 부산의 대표 외식 레스토랑,"양념돼지갈비300g \20,000ㅣ고추장돼지갈비300g \21,000ㅣ양념소갈비살280g \28,000",부산광역시 해운대구 해운대로 230,051-781-0808,10:30-22:00 21:00 라스트오더,15
만파식적,해운대우체국,다양한 구성과 자극적이지 않은 반찬들로 가족 친지들 모임에도 좋은 한식집,"만파식적A코스 \15,000ㅣ만파식적B코스 \18,000ㅣ만파식적C 코스 \28,000~",부산광역시 해운대구 센텀동로 26 한화꿈에그린센텀,0507-1340-5597,11:30-15:00 17:00-21:00 20:00 라스트오더,15
방갈로끝집,해운대우체국,조개구이와 바다장어를 먹을 수 있는 청사포 바다 뷰 맛집!,"조개구이 \45,000~ㅣ장어구이 \45,000~",부산광역시 해운대구 청사포로128번길 66,051-704-1198,12:00-06:00 연중무휴,15
윤가네 신토불이보쌈,해운대우체국,3대째 이어져 오는 현지인들이 더욱 추천하는 보쌈 맛집,"보쌈+쟁반국수 \38,000~",부산광역시 해운대구 구남로29번길 35,0507-1425-1441,10:00-21:00,15
충무김밥 김치수제비,해운대우체국,오랫동안 자리를 지켜온 구)해운대역 분식 맛집!,"충무김밥 \6,000ㅣ김치수제비 \7,000",부산광역시 해운대구 중동1로 15-1,051-747-7383,09:00-20:00,16
재송회센터,헤운대우체국,제철회를 포장하여 넉넉하게 맛볼 수 있는 가성비 횟집 맛집!,"모듬회 \25,000~",부산광역시 해운대구 재송1로60번길 36,051-781-5748,10:00-24:00 목요일 휴무,16
윤쓰짬뽕 & 즉석떡볶이,해운대우체국,왕갈비+해물 건더기 푸짐한 얼큰한 짬뽕과 차별화된 떡볶이를 맛볼 수 있는 곳!,"왕갈비얼큰짬뽕 \12,000ㅣ차돌양지 즉석떡볶이 \19,000",부산광역시 해운대구 재반로103번가길 42,0507-1428-9005,11:00-15:00 / 17:00-20:00 수요일 휴무,16
가야정본점,부산진우체국(부산진구 지역),보양식의 대표음식 삼계탕으로 유명한 가야정,"삼계탕 \18,000ㅣ옻삼계탕 \23,000ㅣ약계탕 \23,000",부산광역시 부산진구 가야대로 527,051-892-3311,10:00-15:30 16:30-21:00,16
대성각,부산진우체국(부산진구 지역),빨간 탕수육 소스로 유명한 우리동네 중국집 맛집!,"짜장면 \6,000ㅣ짬뽕 \8,000ㅣ탕수육 \21,000",부산광역시 부산진구 가야대로587번길 10,051-891-4544,10:00-22:00 화요일 휴무,17
조방낙지 가야점,부산진우체국(부산진구 지역),한우곱창이 듬뿍 들어간 환상적인 낙곱새 맛집!,"낙지볶음 \9,000ㅣ낙곱새볶음 \11,000",부산광역시 부산진구 가야대로 597,051-895-0076,11:00-22:00,17
심청이왕족발,부산진우체국(부산진구 지역),부드럽고 쫄깃한 식감 좋은 콜라겐이 가득한 옛날 족발 맛집!,"차가운 옛날족발 \25,000~ㅣ심청이 족발 \25,000~",부산광역시 부산진구 가야대로588번길 14,051-896-5357,15:30-23:00,17
서면대패삼겹살,부산진우체국(부산진구 지역),고소한 대패삼겹살의 맛부터 가성비까지 잡은 남다른 맛집!!,"대패삼겹살 100g \3,900ㅣ생삼겹살 100g \8,000ㅣ소대패 100g \4,800",부산광역시 부산진구 새싹로29번길 32,051-807-7176,15:00-23:30 일요일 휴무,17
연돼지국밥,부산진우체국(부산진구 지역),몸에 좋은 연근과 돼지국밥과의 콜라보~ 맛집!,"돼지국밥 \8,500ㅣ순대국밥 \8,500ㅣ모듬국밥 \9,500",부산광역시 부산진구 범일로192번길 33,0507-1301-1376,10:00-21:00 일요일 휴무,18
왕짜장,부산진우체국(부산진구 지역),맛으로 행복해지는 세상!王짜장!!,,부산광역시 부산진구 진남로 505,051-852-0362,10:00-20:00,18
하이까눌레,부산진우체국(부산진구 지역),부산 유일 까눌레 전문점으로 다양한 까눌레 메뉴들이 가득찬 맛집! 선물로도 인기!,"순대마늘보쌈 \40,000~ㅣ화명옥풀세트3-4인(보쌈+직화낙지+청국장+비빔밥) \75,000",부산광역시 북구 용당로9번길 3,0507-1413-3358,12:30-19:00  매주 일요일 정기휴무 11:40-14:30 / 17:10-21:00 (토요일 21:30 일요일 20:30까지) 라스트오더 1시간 전까지,18
북경의자전거,북부산우체국(부산 북구 지역),많은 사람들이 찾는 중식당 맛집으로 여러요리들을 즐길 수 있으며 주차장까지 넓어 좋음!,,부산광역시 북구 용당로5번길 14,051-902-8282,11:30-22:00 라스트오더 21:00 명절휴무,19
윤가네산오징어,북부산우체국(부산 북구 지역),회로 먹고 찜으로도 먹는 오징어 맛집! 산오징어가 살아있는 오징어 맛집!!,"먹통 \50,000/60,000/70,000ㅣ낙지 \30,000/40,000ㅣ해물모듬 \30,000/40,000",부산광역시 북구 만덕대로16번길 24,051-335-8338,11:00-21:00 일요일 휴무,19
금용만두,북부산우체국(부산 북구 지역),비가 와도 눈이 와도 지나칠 수 없는 달인의 만두 맛집!!,"군만두 \8,000 찐만두 \8,000 만두국밥 \8,000",부산광역시 북구 구포만세길 75,051-332-1261,10:30-20:30 매주 화요일 휴무,19
첸차이나,북부산우체국(부산 북구 지역),짜장과 짬뽕이 맛있는 기본에 충실한 중국요리 맛집!!,"짜장면 \6,000ㅣ짬뽕 \8,500ㅣ간짜장 \8,000ㅣ탕수육 \16,000",부산광역시 북구 효열로219번가길 42,0507-1322-7784,11:00-21:00 일요일 휴무,19
빨간도깨비샤브샤브,북부산우체국(부산 북구 지역),시원하고 얼큰한 국물이 일품인 가성비 좋은 샤브샤브 맛집!!,"손칼국수 보통/얼큰이 \9,000",부산광역시 북구 만덕3로48번길 15,0507-1365-0261,10:30-21:50 매월 마지막 목요일 휴무,20
숙향,북부산우체국(부산 북구 지역),맛으로~ 푸근함으로~ 인정받는 만덕의 오리요리 맛집!,"생오리양념구이 \43,000ㅣ생오리구이 \40,000ㅣ한방오리백숙 \50,000",부산광역시 북구 덕천로 217-1,051-337-5635,11:30-22:00,20
가마솥추어탕,북부산우체국(부산 북구 지역),가마솥에서 바로 끓여서 맑고 개운한 국물 맛집!!,,부산광역시 북구 산성로 75-5,051-332-5343,08:00-21:00 매주 월요일 휴무,20
팔팔연제장어,부산연제우체국,고소한 부산바다 장어구이와 담백하고 깔끔한 장어탕을 맛보고 싶다면 여기!,"민물장어구이(1인분) \30,000ㅣ바다장어구이 \22,000ㅣ장어추어탕 \12,000",부산광역시 연제구 황새알로 21-1,051-507-5244,10:00-21:30 2·4·5주 일요일 휴무,20
청미추어탕,부산연제우체국,몸에 좋고 맛도 좋은 든든한 추어탕 한 그릇은 최고의 점심 보양식!,"추어탕 \8,000ㅣ돼지두루치기(2인상) \9,000ㅣ돼지수육 \30,000",부산광역시 연제구 월드컵대로111번길 6-12,051-868-2903,11:30-14:30 / 16:30-21:00 토·일요일 휴무,21
쏘이 472,부산연제우체국,태국 음식 맛있게 잘하는 맛집! 태국 음식 생각날 땐!,"팟타이 \11,000ㅣ팟카파오 무쌉 \9,000ㅣ카오팟 탈래 \9,000","부산광역시 아시아드대로134번길 14, 상가 103호",051-907-4720,11:30-21:30 월요일 휴무,21
일품향,부산연제우체국,달달한 유니짜장과 얼큰한 짬뽕 여러가지 중국전통요리를 맛볼수 있는 오래된 맛집!,"유니짜장 \9,000ㅣ점심특선 \20,000ㅣ중국식냉면 \11,000ㅣ광동밥 \13,000",부산광역시 연제구 법원북로3번길 7,051-507-7763,11:00-21:00,21
만포장회전문점,부산연제우체국,가성비와 가심비를 모두 만족시키는 맛집! 룸이 있어 모임장소로 좋은 맛집!!,"회덮밥 \12,000ㅣ물회 \15,000ㅣ모듬회(소) \50,000ㅣ고급모듬회(소) \60,000",부산광역시 연제구 법원북로3번길 15,051-503-6865,11:30-22:00 일요일 휴무,21
베네치아참치,동부산우체국(부산 동구 지역),최고급 혼마구로(참다랑어)가 25년 경력의 참치명장 셰프와 만나 나오는 일식요리들의 향연,"초밥한판(점심특선) \16,000ㅣ일품세미코스 \45,000ㅣ혼마구로어울림코스 \69,000",부산광역시 동구 범일로102번길 20 2층,0507-1491-7903,11:30-14:00 / 16:30-22:00 20:00 라스트오더,22
명가,동부산우체국(부산 동구 지역),찐~하고 깊은! 현지인들도 인정한 감자탕 맛집!!,"감자탕 ￦25,000/35,000ㅣ김치찌개 \7,000ㅣ동태탕 \8,000",부산광역시 동구 자성공원로 23-9,051-644-0079,24시간 영업(연중무휴),22
감포참가자미,동부산우체국(부산 동구 지역),쫄깃한 식감 맛있는 참가자미회하면 여기만한 곳이 없다!,"회정식(점심한정) \30,000ㅣ참가자미물회 \18,000ㅣ1인 코스요리 \40,000~",부산광역시 동구 범일로102번길 16-20,0507-1309-3187,11:00-15:00 / 17:00-22:00 연중무휴,22
늘즐거운세상본가화로,동부산우체국(부산 동구 지역),부드러운 육질의 소고기를 선보이는 가성비 있는 맛집!,"갈비살150g \16,900ㅣ안창꽃살130g \17,900ㅣ꽃등심180g \28,000",부산광역시 동구 조방로 19,0507-1359-6718,11:00-22:00 21:00 라스트오더,22
수미식당,동부산우체국(부산 동구 지역),싱싱한 회와 해물의 살아있는 맛!,,부산광역시 동구 고관로 109-9,051-467-9509,11:00-22:00,23
다다우동,동부산우체국(부산 동구 지역),범일동 골목안 숨은 맛집으로 여러우동의 맛을 볼수있는 다다우동!,"다다우동 \6,000ㅣ튀김우동 \6,500ㅣ모밀 \8,000ㅣ충무김밥 \6,500",부산광역시 동구 자성공원로3번길 15,051-645-1300,10:00-21:00 일요일 휴무,23
영도우,부산영도우체국,임실치즈를 아낌없이 사용하고 부산항이 한눈에 들어오는 맛과 뷰를 사로잡은 집!,"청학동파스타 \14,000ㅣ영도우피자 \21,000ㅣ크림라자냐 \20,000",부산광역시 영도구 조내기로5번길 2,070-4659-0169,11:30-15:00 / 17:00-20:30 20:00 라스트오더 월요일 정기휴무,23
청해수산,부산영도우체국,신선하고 두툼한 회와 가성비를 갖춘 많은 사람들이 찾는 맛집!,"모듬회(소) \35,000ㅣ모듬회(중) \45,000ㅣ모듬회(대) \55,000",부산광역시 영도구 태종로113번길 35 봉래시장안,051-412-6888,12:30-22:00 21:00 라스트오더 매주 화요일 정기휴무,23
우리이모집,부산영도우체국,태종대 자갈마당에 위치한 부산 바다 보며 즐길 수 있는 조개구이&해산물 맛집!,"조개구이 \50,000~ㅣ해물모듬 \50,000~ㅣ장어구이 \60,000~",부산광역시 영도구 감지해변길 96,010-5025-3134,11:30-01:00 23:00 라스트오더 매달 4번째 목요일 휴무,24
편편집 대교점,부산영도우체국,가족 외식으로도 좋은 편백찜&샤브샤브&월남쌈 무한리필 맛집!!,"편백찜&월남쌈&샤브 무한리필 \16,900/17,900/18,900/19,900",부산광역시 영도구 태종로 75 1층,0507-1391-2414,11:00-22:00,24
등대횟집,부산영도우체국,영도에서 10년 넘은 맛집! 가성비 충만 회 맛집!!,"모듬회 \40,000~ㅣ물회 \13,000ㅣ회비빔밥 \12,000",부산광역시 영도구 남항로31번길 29,051-412-2278,10:00-22:30,24
두메산골 터줏대감,부산영도우체국,된장박이 삼겹살이 감칠맛 나는 숨은 고기 맛집!,"삼겹살100g \10,000ㅣ항정살100g ￦14,000ㅣ한우100g ￦25,000",부산광역시 영도구 태종로 86,051-413-9277,월-토 16:30-22:30 일 13:00-22:30(일요일은 예약 운영),24
장어마을,부산영도우체국,맛도 좋고 몸에도 좋은 고소하고 맛있는 장어 맛집!!,"장어구이 \40,000/50,000/60,000ㅣ장어정식 \18,000ㅣ장어탕 \13,000",부산광역시 영도구 절영로13번길 2,051-417-3019,11:00-21:30 일요일 공휴일 휴무,25
그라치에,부산영도우체국,영도 청학동 뇨끼와 파스타가 맛있는 분위기 좋은 이탈리아 레스토랑!,"통오징어먹물리조또 \17,000ㅣ감자뇨끼 \16,000ㅣ채끝스테이크 \34,000",부산광역시 영도구 청학동로 12 1층,0507-1392-6860,11:30-15:00 / 17:00-21:30,25
또시아,부산영도우체국,"영도 속 작은 대만, 이색적인 매뉴로 가득찬 대만 음식점! 웨이팅 주의!","대만홍소우육면 \11,000ㅣ마파두부&계란볶음밥 \13,000ㅣ가지튀김 \13,000",부산광역시 영도구 절영로 6 1층,0507-1436-3837,11:30-15:00 / 17:00-21:30,25
고귀관,부산강서우체국,육즙 팡팡한 고기를 직접 구워주는 그릴링 서비스에 가성비 좋은 세트메뉴!,"고세트 2인(500g) \47,000ㅣ귀세트 4인(950g) \89,000ㅣ점심특선(돼지갈비정식) \15,000",부산광역시 강서구 대저중앙로 399,0507-1311-9299,11:00-15:00 / 17:00-22:00 21:00 라스트오더,25
장수고려삼계탕,부산강서우체국,푸짐한 양과 고급스러운 맛! 몸보신 최고의 삼계탕 맛집!,"한방삼계탕 \11,000ㅣ상황버섯 오리불고기 \25,000",부산광역시 강서구 대저중앙로 62,051-972-6773,09:00-21:00 토·일요일 휴무,26
청송보리밥,부산강서우체국,고물가시대 가성비 최고의 건강한 보리밥 맛집!,"보리밥 \7,000",부산광역시 강서구 대저로 57,051-972-3416,11:00-20:00 일요일 휴무,26
시골추어탕,부산강서우체국,시골집에서 먹는 진한 국물의 추어탕 맛집!,"추어탕 \9,000ㅣ미꾸라지 튀김 \10,000",부산광역시 강서구 대저로3번길 163,051-972-4817,11:00-20:00 일요일 휴무,26
부산식당 한식뷔페,부산강서우체국,먹을 수 있는 만큼 무한 리필 할 수 있는 가성비 맛집,"뷔페정식 \ 7,000",부산광역시 강서구 대저로89번가길 53,0507-1473-1132,10:30-15:00 일요일 휴무,26
옥이감자탕,부산강서우체국,들깨향 솔솔나는 얼큰하고 담백한 감자탕 맛집!,"우거지감자탕 \23,000~ㅣ김치감자탕 \25,000~",부산광역시 강서구 화전산단4로7번길 14,051-973-8988,10:00-22:00 1·3주 일요일 휴무,27
샤브인 본점,부산강서우체국,신선한 야채와 깔끔한 육수가 일품인 샤브샤브 맛집!,"소고기 샤브(1인분) \13,900",부산광역시 강서구 신호산단2로 43-21,051-831-1114,11:00-21:20 월요일 휴무,27
가마솥생복집,기장우체국,정갈한 밑반찬과 현지인 추천 맛집으로도 유명한 복국집,"은복 \13,000ㅣ까치복 \15,000ㅣ밀복 \17,000ㅣ복수육 \50,000~ㅣ특선요리(1인) \70,000",부산광역시 기장군 기장읍 차성로 327-2,051-722-2995,09:00-21:00 월요일 휴무,27
일광바다횟집,기장우체국,"신선한 재료와 맛깔나는 멸치쌈밥, 바다가 보이는 맛집, 웨이팅 주의!","멸치쌈밥 \14,000ㅣ생물메기탕 \20,000ㅣ생대구탕 \20,000ㅣ도다리쑥국 \20,000",부산광역시 기장군 일광읍 기장해안로 1312,051-724-7188,09:00-15:00 / 17:00-21:00 20:00 라스트오더,27
한양횟집,기장우체국,누구나 인정하는 신선함이 가득하고 여러 맛을 느낄 수 있는 오션뷰의 생선회 맛집!,"모듬회 \60,000~ㅣ아나고 \50,000~",부산광역시 기장군 일광읍 문오성길 165-1,051-727-1773,10:00-21:00,28
만포장횟집,기장우체국,싱싱한 여러 해산물과 쫄깃한 회를 함께 맛볼 수 있는 정성 가득한 기장 맛집!,"모듬회 \60,000~ㅣ해산물모듬 \40,000~",부산광역시 기장군 기장읍 연화1길 177,051-721-1288,10:00-21:00,28
청기와 식육식당,기장우체국,설명이 필요 없는 오래된 기장 철마 소고기 맛집!,"갈비살·꽃등심·모듬 100g \28,000ㅣ꽃살 100g \35,000",부산광역시 기장군 철마면 중리1길 15-9,051-721-9192,10:00-21:00 연중무휴,28
숯탁,울산우체국(울산 중구 지역),"참숯에 한번 짚불에 한번 솥뚜껑에 또 한번, 국내산 닭 특부부위 숯불 닭구이 전문점","사이갈비 250g \9,000ㅣ초가모듬set 550g \33,000ㅣ산장모듬set 850g \48,000",울산광역시 중구 태화강국가정원길 229-5,052-211-5200,11:00-22:00 월요일 휴무,30
유쾌한낙지 본점,울산우체국( 울산 중구 지역),"통통하고 쫄깃한 불맛의 낙지와 수육의 깔끔한 조합,한번먹으면 빠져나올 수없는 맛!","직화낙지볶음 \13,500ㅣ직화낙지보쌈 \38,000~ㅣ통낙지해물찜 \42,000~",울산광역시 중구 태화강국가정원길 231-6,0507-1377-6800,11:00 -15:30  / 17:00 -21:20 목요일 정기휴무,30
허준 굴요리전문점,울산우체국(울산 중구 지역),굴국밥으로 해장! 줄서서 먹는 굴요리 맛집!!,"굴국밥 \9,000ㅣ굴탕 \9,000ㅣ굴떡국 \9,500ㅣ매생이굴국밥 \10,000",울산광역시 중구 새치로 29,0507-1406-9671,11:00-22:00 일요일 휴무,30
