Edition,Name,Locality,Listing_Type
2016,Adega do Albertino,Caldas Da Rainha,full guide listing
2016,Adega do Sossego,Melgaco,full guide listing
2016,Adega dos Frades,Batalha,full guide listing
2016,Afonso,Mora,full guide listing
2016,Aidé,Pacos De Ferreira,full guide listing
2016,Aki-D'el-Mar,Nazare,full guide listing
2016,Al Quimia,Albufeira,full guide listing
2016,Alabote,Ribeira Grande,full guide listing
2016,Alentejo,Mertola,full guide listing
2016,Alentejo.Come,Amadora,full guide listing
2016,Alma,Lisboa,full guide listing
2016,Almourol,Vila Nova Da Barquinha,full guide listing
2016,Alquimia,Covilha,full guide listing
2016,Anfiteatro,Ponta Delgada,full guide listing
2016,Antiga Casa Marítima,Almada,full guide listing
2016,Antiqvvm,Porto,full guide listing
2016,António Padeiro,Alcobaca,full guide listing
2016,Aqui Há Peixe,Lisboa,full guide listing
2016,Aquário Marisqueira d'Espinho,Espinho,full guide listing
2016,Arcadas,Coimbra,full guide listing
2016,Arcoense,Braga,full guide listing
2016,Areias do Seixo,Torres Vedras,full guide listing
2016,Arola,Sintra,full guide listing
2016,Arte & Sal,Sines,full guide listing
2016,Astória,Porto,full guide listing
2016,Augusta,Braga,full guide listing
2016,B&G,Grandola,full guide listing
2016,B&G Vilalara Thalassa Resort,Lagoa Algarve,full guide listing
2016,BH Foz,Porto,full guide listing
2016,Barão Fladgate,Vila Nova De Gaia,full guide listing
2016,Bastardo,Lisboa,full guide listing
2016,Beef & Wines,Funchal,full guide listing
2016,Belcanto,Lisboa,full guide listing
2016,Belos Aires,Porto,full guide listing
2016,Bem-Me-Quer,Braga,full guide listing
2016,Berne,Manteigas,full guide listing
2016,Bistro 100 Maneiras,Lisboa,full guide listing
2016,Bistrô4,Lisboa,full guide listing
2016,Bocados Restaurante,Ponte De Lima,full guide listing
2016,Boi-Cavalo,Lisboa,full guide listing
2016,Bon Bon,Lagoa Algarve,full guide listing
2016,Bovino Steakhouse,Loule,full guide listing
2016,Brasa,Macedo De Cavaleiros,full guide listing
2016,Cabicanca,Aguiar Da Beira,full guide listing
2016,Cafeína,Porto,full guide listing
2016,Café Alentejo,Evora,full guide listing
2016,Café de São Bento,Lisboa,full guide listing
2016,Cais da Estação,Sines,full guide listing
2016,Cais da Villa,Vila Real,full guide listing
2016,Cais de Angra,Angra Do Heroismo,full guide listing
2016,Calça Curta,Carrazeda De Ansiaes,full guide listing
2016,Camelo,Viana Do Castelo,full guide listing
2016,Camelo,Seia,full guide listing
2016,Cancela Velha,Marco De Canaveses,full guide listing
2016,Caneiro,Cabeceiras De Basto,full guide listing
2016,Cantarinha do Guadiana,Vila Real De Santo Antonio,full guide listing
2016,Cantiflas,Sao Joao Da Pesqueira,full guide listing
2016,Cantina 32,Porto,full guide listing
2016,Cantinho do Antigamente,Terras De Bouro,full guide listing
2016,Cantinho do Avillez,Porto,full guide listing
2016,Cantinho do Avillez,Lisboa,full guide listing
2016,Canto dos Sabores,Vendas Novas,full guide listing
2016,Capriola,Golega,full guide listing
2016,Cardo,Evora,full guide listing
2016,Carvalho,Chaves,full guide listing
2016,Casa Arouquesa,Viseu,full guide listing
2016,Casa Cristininha,Santo Tirso,full guide listing
2016,Casa D'oro,Porto,full guide listing
2016,Casa D’Armas,Viana Do Castelo,full guide listing
2016,Casa Gallega,Oeiras,full guide listing
2016,Casa Mateus,Sesimbra,full guide listing
2016,Casa Mattos,Estarreja,full guide listing
2016,Casa Ti'Augusta,Proenca A Nova,full guide listing
2016,Casa Velha,Loule,full guide listing
2016,Casa Velha do Palheiro,Funchal,full guide listing
2016,Casa da Caínha,Mondim De Basto,full guide listing
2016,Casa da Dízima,Oeiras,full guide listing
2016,Casa da Nora,Leiria,full guide listing
2016,Casa da Ínsua,Penalva Do Castelo,full guide listing
2016,Casa das Velhas,Vila Nova De Cerveira,full guide listing
2016,Casa de Chá da Boa Nova,Matosinhos,full guide listing
2016,Casa de Pasto,Lisboa,full guide listing
2016,Casa de Pasto da Palmeira,Porto,full guide listing
2016,Casa de Souto Velho,Chaves,full guide listing
2016,Casa do Lago,Loule,full guide listing
2016,Cascata Restaurante Típico,Abrantes,full guide listing
2016,Casinha Velha,Leiria,full guide listing
2016,Casta 85,Alenquer,full guide listing
2016,Castas e Pratos,Peso Da Regua,full guide listing
2016,Castro da Cola,Ourique,full guide listing
2016,Cave 23,Lisboa,full guide listing
2016,Cella Bar,Madalena,full guide listing
2016,Cervejaria Brasão Aliados,Porto,full guide listing
2016,Cervejaria Ramiro,Lisboa,full guide listing
2016,Chalet Vicente,Funchal,full guide listing
2016,Chapitô à Mesa,Lisboa,full guide listing
2016,Chaxoila Casa de Pasto,Vila Real,full guide listing
2016,Chez Daniel,Santiago Do Cacem,full guide listing
2016,Chico Elias,Tomar,full guide listing
2016,Chá com Água Salgada,Vila Real De Santo Antonio,full guide listing
2016,Cimas,Cascais,full guide listing
2016,Cinta d'Ouro,Freixo De Espada A Cinta,full guide listing
2016,Colmeia,Guarda,full guide listing
2016,Come Prima,Lisboa,full guide listing
2016,Convento de Belmonte Gourmet,Belmonte,full guide listing
2016,Costa do Sol,Vila Pouca De Aguiar,full guide listing
2016,Costa do Vez,Arcos De Valdevez,full guide listing
2016,Cosy,Braga,full guide listing
2016,Cova da Loba,Celorico Da Beira,full guide listing
2016,Cozinha Típica do Montemuro - Mezio,Castro Daire,full guide listing
2016,Cozinha da Terra,Paredes,full guide listing
2016,Cozinha do Caracol,Angra Do Heroismo,full guide listing
2016,Cruel,Porto,full guide listing
2016,Cruz Sobral,Braga,full guide listing
2016,Cêpa Torta,Alijo,full guide listing
2016,D. Roberto,Braganca,full guide listing
2016,DOC,Armamar,full guide listing
2016,DOP,Porto,full guide listing
2016,Degust’AR,Evora,full guide listing
2016,Divinus,Evora,full guide listing
2016,Dom Joaquim,Evora,full guide listing
2016,Dom José,Bombarral,full guide listing
2016,Dom Júlio,Vila Nova De Cerveira,full guide listing
2016,Dom Sesnando,Penela,full guide listing
2016,Don Garfo,Guarda,full guide listing
2016,Dona Bia,Alcacer Do Sal,full guide listing
2016,Dona Ferreirinha,Castelo Branco,full guide listing
2016,Dona Isilda,Palmela,full guide listing
2016,Dona Júlia,Braga,full guide listing
2016,Dona Lurdes,Maia,full guide listing
2016,Dona Mafalda,Guimaraes,full guide listing
2016,Douro à Vista,Resende,full guide listing
2016,Dourum,Vila Nova De Gaia,full guide listing
2016,Duque de Caminha,Caminha,full guide listing
2016,Dux - Petiscos & Vinhos,Coimbra,full guide listing
2016,Dóri,Ilhavo,full guide listing
2016,Egoísta,Povoa De Varzim,full guide listing
2016,El Olivo,Braga,full guide listing
2016,Eleven,Lisboa,full guide listing
2016,Elvira,Braga,full guide listing
2016,Encosta da Muralha,Castelo Branco,full guide listing
2016,Espalha Brasas,Borba,full guide listing
2016,Esplanada Marisqueira A Antiga,Matosinhos,full guide listing
2016,Estoril Mandarim,Cascais,full guide listing
2016,Estórias na Casa da Comida,Lisboa,full guide listing
2016,Fajã dos Padres,Camara De Lobos,full guide listing
2016,Faro e Benfica,Faro,full guide listing
2016,Feitiço da Moura,Reguengos De Monsaraz,full guide listing
2016,Feitoria,Lisboa,full guide listing
2016,Ferrugem,Vila Nova De Famalicao,full guide listing
2016,Fialho,Evora,full guide listing
2016,Fio D'Azeite,Aljustrel,full guide listing
2016,Flor de Sal,Mirandela,full guide listing
2016,Flor de Sal,Entroncamento,full guide listing
2016,Flor do Ave,Trofa,full guide listing
2016,Florian,Loule,full guide listing
2016,Florêncio,Guimaraes,full guide listing
2016,Flow Restaurant & Bar,Porto,full guide listing
2016,Fonte Cuisine,Lajes Do Pico,full guide listing
2016,Foral de Melgaço,Melgaco,full guide listing
2016,Forneria São Pedro,Vila Nova De Gaia,full guide listing
2016,Fornos de Lava,Velas,full guide listing
2016,Fortaleza do Guincho,Cascais,full guide listing
2016,Furnas do Guincho,Cascais,full guide listing
2016,Fusion,Loule,full guide listing
2016,G Pousada Restaurante,Braganca,full guide listing
2016,Gadanha Mercearia e Restaurante,Estremoz,full guide listing
2016,Galeria do Largo,Porto,full guide listing
2016,Gambrinus,Lisboa,full guide listing
2016,Gavius,Condeixa A Nova,full guide listing
2016,Genuíno,Horta,full guide listing
2016,Gigi's,Loule,full guide listing
2016,Gilão,Tavira,full guide listing
2016,Gusto by Heinz Beck,Loule,full guide listing
2016,Henrique Leis,Loule,full guide listing
2016,Herdade dos Grous,Beja,full guide listing
2016,Hool,Guimaraes,full guide listing
2016,Ignácio,Braga,full guide listing
2016,Il Gallo D'Oro,Funchal,full guide listing
2016,Incomum by Luis Santos,Sintra,full guide listing
2016,Jesus é Goês,Lisboa,full guide listing
2016,Jorge do Peixe,Loule,full guide listing
2016,Kalifa OK,Mogadouro,full guide listing
2016,Kanazawa,Lisboa,full guide listing
2016,L'AND Vineyards Restaurante,Montemor O Novo,full guide listing
2016,LAB by Sergi Arola,Sintra,full guide listing
2016,LOCO,Lisboa,full guide listing
2016,La Cigale,Albufeira,full guide listing
2016,Lapa,Lisboa,full guide listing
2016,Largo do Paço,Amarante,full guide listing
2016,Lindolfo,Oliveira De Azemeis,full guide listing
2016,Lisbonense,Caldas Da Rainha,full guide listing
2016,Luar da Foia,Monchique,full guide listing
2016,Lá em Casa,Gouveia,full guide listing
2016,Madre de Água,Gouveia,full guide listing
2016,Malhadinha Nova,Beja,full guide listing
2016,Manuel Azinheirinha,Montemor O Novo,full guide listing
2016,Manuel Júlio,Mealhada,full guide listing
2016,Mar do Inferno,Cascais,full guide listing
2016,Maria Pia,Cascais,full guide listing
2016,Maria Rita,Mirandela,full guide listing
2016,Maria do Carmo,Vila Real,full guide listing
2016,Mariana,Viana Do Castelo,full guide listing
2016,Marinheiro,Povoa De Varzim,full guide listing
2016,Marisco na Praça,Cascais,full guide listing
2016,Marisqueira O Barqueiro,Funchal,full guide listing
2016,Marisqueira Os Fialhos,Tavira,full guide listing
2016,Marisqueira Rui,Silves,full guide listing
2016,Maré Alta - Peixe & Mariscos,Machico,full guide listing
2016,Marégrafo,Figueira Da Foz,full guide listing
2016,Mercado à Mesa,Santiago Do Cacem,full guide listing
2016,Mesa de Lemos,Viseu,full guide listing
2016,Mesón Andaluz,Lisboa,full guide listing
2016,Midori,Sintra,full guide listing
2016,Molhó Bico,Serpa,full guide listing
2016,Monverde,Amarante,full guide listing
2016,Mugasa,Anadia,full guide listing
2016,Muralha da Sé,Viseu,full guide listing
2016,Museu da Chanfana,Miranda Do Corvo,full guide listing
2016,Narcissus Fernandesii,Vila Vicosa,full guide listing
2016,Nariz do Mundo,Cabeceiras De Basto,full guide listing
2016,Noélia,Tavira,full guide listing
2016,O Adro,Serpa,full guide listing
2016,O Alambique de Ouro,Fundao,full guide listing
2016,O Alcochetano,Alcochete,full guide listing
2016,O Ancoradouro,Madalena,full guide listing
2016,O Arquinho do Castelo,Matosinhos,full guide listing
2016,O Bairro,Aveiro,full guide listing
2016,O Chana do Bernardino,Redondo,full guide listing
2016,O Chanquinhas,Matosinhos,full guide listing
2016,O Charneco,Lagoa Algarve,full guide listing
2016,O Convite,Ourem,full guide listing
2016,O Cortiço,Viseu,full guide listing
2016,O Escaroupim,Salvaterra De Magos,full guide listing
2016,O Escondido de Chamosinhos,Valenca,full guide listing
2016,O Fuso,Arruda Dos Vinhos,full guide listing
2016,O Gafanhoto,Ilhavo,full guide listing
2016,O Gaveto,Matosinhos,full guide listing
2016,O Geadas,Braganca,full guide listing
2016,O Horta,Olhao,full guide listing
2016,O Lagar,Torre De Moncorvo,full guide listing
2016,O Laranjeira,Viana Do Castelo,full guide listing
2016,O Moinho,Ponte Da Barca,full guide listing
2016,O Nobre,Lisboa,full guide listing
2016,O Paparico,Porto,full guide listing
2016,O Pascoal,Pampilhosa Da Serra,full guide listing
2016,O Paulo,Aljezur,full guide listing
2016,O Pelourinho,Arraiolos,full guide listing
2016,O Pão Saloio,Lourinha,full guide listing
2016,O Sapo,Penafiel,full guide listing
2016,O Talho,Lisboa,full guide listing
2016,O Telheiro,Aveiro,full guide listing
2016,O Telheiro do Abílio,Castelo Branco,full guide listing
2016,O Toucinho,Almeirim,full guide listing
2016,O Túlio,Nisa,full guide listing
2016,O Valério,Mangualde,full guide listing
2016,O Victor,Povoa De Lanhoso,full guide listing
2016,O Xarroco,Matosinhos,full guide listing
2016,O Álvaro,Portalegre,full guide listing
2016,Ocean,Lagoa Algarve,full guide listing
2016,Olivença,Ponte De Sor,full guide listing
2016,Open Brasserie Mediterrânica,Lisboa,full guide listing
2016,Os Lusíadas,Matosinhos,full guide listing
2016,"PVP: Pão, Vinho e Petiscos",Funchal,full guide listing
2016,Paixa,Loule,full guide listing
2016,Paladares da Quinta,Lagoa Sao Miguel,full guide listing
2016,Palhinhas Gold,Rio Maior,full guide listing
2016,Palitão,Castelo Branco,full guide listing
2016,Palma,Monforte,full guide listing
2016,Panorama,Lisboa,full guide listing
2016,Panorâmico,Braga,full guide listing
2016,Papa Figos,Idanha A Nova,full guide listing
2016,Paço dos Cunhas de Santar,Nelas,full guide listing
2016,Paços da Rainha,Leiria,full guide listing
2016,Pedra Furada,Barcelos,full guide listing
2016,Pedro Lemos,Porto,full guide listing
2016,Peixaria da Esquina,Lisboa,full guide listing
2016,Pequeno Mundo,Loule,full guide listing
2016,Petiscos & Granitos,Idanha A Nova,full guide listing
2016,Pizzeria Casa Vostra,Loule,full guide listing
2016,Pompílio,Elvas,full guide listing
2016,Ponte Velha,Serta,full guide listing
2016,Populi,Lisboa,full guide listing
2016,Portarossa,Porto,full guide listing
2016,Porto Novo,Porto,full guide listing
2016,Porto das Barcas,Odemira,full guide listing
2016,Portucale,Porto,full guide listing
2016,Puttanesca,Leiria,full guide listing
2016,Páteo Real,Alter Do Chao,full guide listing
2016,Pé na Água,Porto Santo,full guide listing
2016,Pôr do Sol,Lajes Das Flores,full guide listing
2016,Q.B. - Food Court,Angra Do Heroismo,full guide listing
2016,Quinta de Cabriz,Carregal Do Sal,full guide listing
2016,Quinta de São Rafael - Casa do Médico,Sines,full guide listing
2016,Quinta do Encontro,Anadia,full guide listing
2016,Quinta do Furão,Santana,full guide listing
2016,Quinta do Portal,Sabrosa,full guide listing
2016,R3,Praia Da Vitoria,full guide listing
2016,Real Abadia,Alcobaca,full guide listing
2016,Refeitório Quinhentista,Constancia,full guide listing
2016,Reitoria,Porto,full guide listing
2016,Restaurante Piscina Azenhas do Mar,Sintra,full guide listing
2016,Restaurante Santo António,Camara De Lobos,full guide listing
2016,Restaurante Termas Vizela,Vizela,full guide listing
2016,Restaurante Vale de Abraão,Lamego,full guide listing
2016,Restaurante da Adraga,Sintra,full guide listing
2016,Restaurante da Associação Agrícola,Ribeira Grande,full guide listing
2016,Restaurante da Pousada Mosteiro Crato,Crato,full guide listing
2016,Restaurante da Pousada Mosteiro de Amares,Amares,full guide listing
2016,Restaurante da Pousada de Valença,Valenca,full guide listing
2016,Restaurante da Quinta do Paço,Vila Real,full guide listing
2016,Restaurante do Hotel Bagoeira,Barcelos,full guide listing
2016,Restaurante do Lousada Country Hotel,Lousada,full guide listing
2016,Restaurante do Parque,Peniche,full guide listing
2016,Retiro da Cabreira,Vieira Do Minho,full guide listing
2016,Retiro do Raposo,Loures,full guide listing
2016,Rib Beef & Wine Porto,Porto,full guide listing
2016,Ribamar,Sesimbra,full guide listing
2016,Robalo,Sabugal,full guide listing
2016,Romando Privé,Vila Do Conde,full guide listing
2016,SHIKO - Tasca Japonesa,Porto,full guide listing
2016,Sabores da Quinta,Celorico De Basto,full guide listing
2016,Sabores da Ria,Olhao,full guide listing
2016,Sabores de Monsaraz,Reguengos De Monsaraz,full guide listing
2016,Sabores do Campo,Sao Bras De Alportel,full guide listing
2016,Sabores do Pinhal,Serta,full guide listing
2016,Salpoente,Aveiro,full guide listing
2016,Salsa e Coentros,Lisboa,full guide listing
2016,Salão Nobre - Vidago Palace Hotel,Chaves,full guide listing
2016,Santa Bárbara,Ribeira Grande,full guide listing
2016,Santa Luzia,Viseu,full guide listing
2016,Santa Maria,Funchal,full guide listing
2016,Santa Quitéria,Felgueiras,full guide listing
2016,Sea Me Peixaria Moderna,Lisboa,full guide listing
2016,Sempr'Assar,Matosinhos,full guide listing
2016,Senses,Lagos,full guide listing
2016,Soadro do Zêzere,Guarda,full guide listing
2016,Sol e Chuva,Montalegre,full guide listing
2016,Solar Bragançano,Braganca,full guide listing
2016,Solar do Bacalhau,Coimbra,full guide listing
2016,Solar dos Amigos,Caldas Da Rainha,full guide listing
2016,Solar dos Nunes,Lisboa,full guide listing
2016,Solar dos Presuntos,Lisboa,full guide listing
2016,Sommelier Lisbon,Lisboa,full guide listing
2016,Sueste,Lagoa Algarve,full guide listing
2016,São Gião,Guimaraes,full guide listing
2016,São Valentim,Matosinhos,full guide listing
2016,Taberna A Laranjinha,Covilha,full guide listing
2016,Taberna d'Adélia,Nazare,full guide listing
2016,Taberna da Maré,Portimao,full guide listing
2016,Taberna da Praça,Cascais,full guide listing
2016,Taberna da Rua das Flores,Lisboa,full guide listing
2016,Taberna do Adro,Elvas,full guide listing
2016,Taberna do Alfaiate,Cartaxo,full guide listing
2016,Taberna do Arrufa,Cuba,full guide listing
2016,Taberna do Carró,Torre De Moncorvo,full guide listing
2016,Taberna do Gabão,Aljezur,full guide listing
2016,Taberna do Liberato,Moura,full guide listing
2016,Taberna do Quinzena,Santarem,full guide listing
2016,Tachinho da Té,Tabuaco,full guide listing
2016,Tacho da Memória,Odivelas,full guide listing
2016,Tapas Bar,Figueira Da Foz,full guide listing
2016,Tarmar,Calheta,full guide listing
2016,Tasca Literária Dona Joana Rabo-de-Peixe,Funchal,full guide listing
2016,Tasca Maria Faia,Castelo Branco,full guide listing
2016,Tasca da Esquina,Lisboa,full guide listing
2016,Tasca da Quinta,Peso Da Regua,full guide listing
2016,Tasca das Tias,Angra Do Heroismo,full guide listing
2016,Tasca do Celso,Odemira,full guide listing
2016,Tasca do Joel,Peniche,full guide listing
2016,Tasca do Montinho,Avis,full guide listing
2016,Tasca do Petrol,Monchique,full guide listing
2016,Taska Comeres Algarvios,Faro,full guide listing
2016,Taska Quim Barbeiro,Chaves,full guide listing
2016,Tasquinha da D. Maria,Porto De Mos,full guide listing
2016,Tasquinha do Fumo,Baiao,full guide listing
2016,Tasquinha do Matias,Tarouca,full guide listing
2016,Tasquinha do Oliveira,Evora,full guide listing
2016,Taverna do 8 ó 80,Nazare,full guide listing
2016,Terra de Montanha,Vila Real,full guide listing
2016,Terraçu's Winery Restaurant,Sabrosa,full guide listing
2016,Tertúlia da Quinta,Almeirim,full guide listing
2016,The Dining Room,Funchal,full guide listing
2016,The Wine House Restaurante - Quinta da Pacheca,Lamego,full guide listing
2016,The Yeatman,Vila Nova De Gaia,full guide listing
2016,Tia Alice,Ourem,full guide listing
2016,Tia Rosa,Grandola,full guide listing
2016,Toca da Raposa,Sao Joao Da Pesqueira,full guide listing
2016,Tomo,Oeiras,full guide listing
2016,Torres,Vila Verde,full guide listing
2016,Toupeirinho,Matosinhos,full guide listing
2016,Traça,Porto,full guide listing
2016,Tábua d'Aço,Tabuaco,full guide listing
2016,Tágide,Lisboa,full guide listing
2016,Tézinho Marisqueira,Mira,full guide listing
2016,Uva Restaurante e Wine Bar,Funchal,full guide listing
2016,Valle Flôr,Lisboa,full guide listing
2016,Vallecula,Guarda,full guide listing
2016,Varanda,Lisboa,full guide listing
2016,Varanda da Estrela,Covilha,full guide listing
2016,Varanda do Casal,Figueiro Dos Vinhos,full guide listing
2016,Veneza,Albufeira,full guide listing
2016,Verdeal,Moimenta Da Beira,full guide listing
2016,Vila Joya,Albufeira,full guide listing
2016,Villa Cipriani,Funchal,full guide listing
2016,"Vimieiro - Food, Drinks & Friends",Penacova,full guide listing
2016,Vindouro,Lamego,full guide listing
2016,Vinum Restaurant & Wine Bar,Vila Nova De Gaia,full guide listing
2016,Vista,Portimao,full guide listing
2016,Vistas Rui Silvestre,Vila Real De Santo Antonio,full guide listing
2016,Viva Lisboa,Lisboa,full guide listing
2016,Voltar ao Cais,Vila Franca De Xira,full guide listing
2016,William Restaurant,Funchal,full guide listing
2016,Willie's,Loule,full guide listing
2016,Wish Restaurante & Sushi,Porto,full guide listing
2016,Xerém Fusion Cuisine,Albufeira,full guide listing
2016,À Terra Furnas,Povoacao,full guide listing
2016,Àbabuja,Portimao,full guide listing
2016,Ânfora,Lisboa,full guide listing
2016,Élebê,Porto,full guide listing
2016,Ó Balcão,Santarem,full guide listing
2017,1300 Taberna,Lisboa,full guide listing
2017,1811 - Bistro & Wine Bar,Funchal,full guide listing
2017,2 Passos,Loule,full guide listing
2017,3 Pipos,Tondela,full guide listing
2017,490 Taberna STB,Setubal,full guide listing
2017,7 à 7,Moncao,full guide listing
2017,A Azenha do Mar,Odemira,full guide listing
2017,A Barca - Tranquitanas,Odemira,full guide listing
2017,A Bolota,Elvas,full guide listing
2017,A Cabana,Esposende,full guide listing
2017,A Cadeia Quinhentista,Estremoz,full guide listing
2017,A Carvalheira,Ponte De Lima,full guide listing
2017,A Cavalariça,Castro Verde,full guide listing
2017,A Cave,Ilhavo,full guide listing
2017,A Cevicheria,Lisboa,full guide listing
2017,A Charrette,Monchique,full guide listing
2017,A Comidinha,Lagos,full guide listing
2017,A Cozinha do Manel,Porto,full guide listing
2017,A Cozinha por António Loureiro,Guimaraes,full guide listing
2017,A Escola,Alcacer Do Sal,full guide listing
2017,A Esquina,Barrancos,full guide listing
2017,A Estrela da Mó,Vila Nova De Poiares,full guide listing
2017,A Lareira,Mogadouro,full guide listing
2017,A Luciana,Oliveira De Frades,full guide listing
2017,A Lúria,Tomar,full guide listing
2017,A Maria,Alandroal,full guide listing
2017,A Marisqueira de Matosinhos,Matosinhos,full guide listing
2017,A Petisqueira,Lagos,full guide listing
2017,A Talha,Chaves,full guide listing
2017,A Talha de Azeite,Grandola,full guide listing
2017,A Tasca da Galega,Barreiro,full guide listing
2017,A Tulha,Ponte De Lima,full guide listing
2017,Abrigo do Pastor,Santa Cruz,full guide listing
2017,Adega Casa de Monte Pedral,Cuba,full guide listing
2017,Adega Faustino,Chaves,full guide listing
2017,Adega Monhé,Santa Maria Da Feira,full guide listing
2017,Adega Regional Sete Condes,Mondim De Basto,full guide listing
2017,Adega Típica 25 de Abril,Beja,full guide listing
2017,Adega Velha,Mourao,full guide listing
2017,Adega de São Mateus,Angra Do Heroismo,full guide listing
2017,Adega de São Nicolau,Porto,full guide listing
2017,Adega do Albertino,Caldas Da Rainha,full guide listing
2017,Adega do Sossego,Melgaco,full guide listing
2017,Adega dos Apalaches,Oleiros,full guide listing
2017,Adega dos Sabores,Mortagua,full guide listing
2017,Afonso,Mora,full guide listing
2017,Aidé,Pacos De Ferreira,full guide listing
