City	Name	Avg_EUR	Price_Detail	Source
Lisbon	2Monkeys	150	tasting €150 (+€100 pairing); one 2026 listing says €220; 14 seats	2monkeys.com.pt / torelpalacelisbon.com
Lisbon	Carnal	45	Michelin €€; reports €50+ pp dinner	thefork / michelin
Lisbon	Ofício - Wine & Dining Room	45	sharing plates €10-18; ~€90 pp with wine	thefork / portugalconfidential
Lisbon	Pigmeu	42	€40-45 pp; set lunch €17; small plates from €4.80	michelin / enprimeurclub
Lisbon	Zunzum Gastrobar	45	avg €45	thefork / zunzum.pt
Lisbon	JNĉQUOI Fish	69	avg €69; à la carte only, fish by weight	thefork / michelin
Lisbon	O Frade	32	avg €25-35; small Alentejo menu	thefork / mesprestiges
Lisbon	O Talho	55	Michelin €€€; tartare €29.80, oxtail €31.20, croquettes €9.80	otalho.com / tripadvisor
Lisbon	Plano	95	Menu Origens (7 moments) €95; 10-moment menu higher	planorestaurante.com / thefork
Lisbon	Santa Joana	38	avg €38; sharing format	thefork / michelin
Lisbon	BAHR	55	Michelin €€€; evening à la carte; informal lunch "executive menu" (items €15-18.50)	bahr.pt / michelin
Lisbon	100 Maneiras	160	"The Story" 17 moments €160; "Short Story" €130; vegetarian "Echoes of 100" €125	100maneiras.com / theworlds50best
Lisbon	Suba	95	4-course €80; 5-course and 8-course "Full Experience" higher	verridesc.pt / thefork
Porto	Blind	155	"Blind Emotions" 10 or 12 moments €155; TheFork avg €200	blind.pt / thefork
Porto	dop	75	Douro 5-course €65; Sea 5-course €75; weekday executive lunch €20	thefork / localporto
Porto	Euskalduna Studio	160	tasting €160 (10 moments); pairings €65 (non-alc) to €250	euskaldunastudio.pt
Porto	Gastro by Elemento	145	organic 15-course €115, rising to €145 from 1 Apr 2026	gastroelemento.com / thefork
Porto	In Diferente	110	"Homenagem" 8 moments €90; "In Diferente" 10 moments €110	thefork / michelin
Porto	Pedro Lemos	110	TheFork avg €110; Michelin €€€€; 3/5/7-course seasonal menus	thefork / theworlds50best
Porto	Vila Foz	190	tasting €190 pp (Tue-Sat, €50 pp prepayment); "Novo Mundo" veg + "Maresia"	vilafozhotel.pt
Porto	Éon	140	"Lés a Lés" 9 moments €100 / 14 moments €150-165; avg €140	palacetesevero.com / thefork
Lisbon	Terroir	95	5 moments €95; 8 moments €115; lunch menu €27.50; pairings €55/€75	terroirrestaurante.com / publico.pt
Porto	OMA	70	tasting €60-87 ("Viagem IDA e volta" €87); executive lunch €16; pairing €40	thefork / michelin
Porto	Pátio 44	27	avg €25-30; Michelin single-€ tier	thefork / enprimeurclub
Porto	Almeja	50	10-course tasting ~€55; avg €45; weekday Bolhão/Trindade menus cheaper	thefork / portugalconfidential
Porto	Apego	75	"Apego" 5-course €65; "Desapego" 7-course €90; pairing €35; avg €80	apegorestaurante.com / thefork
Porto	Atrevo	55	"Menu Atrevido" 6-course €65; à la carte avg €35	thefork / michelin
Porto	Camilo	45	avg €35; reports €50+ pp dinner; wine by glass €9	restaurante-camilo.pt / thefork
Porto	Cozinha das Flores	45	avg €41; 3-course lunch €35	thefork / cozinhadasflores.com
Porto	Elemento	95	8-moment wood-fire tasting €95	elementoporto.com / thefork
Porto	Fauno	65	7-course tasting €60-70; lunch €45; pairing €30-40	faunorestaurante.pt / thefork
Porto	Liz	80	9-moment surprise tasting €75-85; pairing €40	restauranteliz.com / thefork
Porto	Bistrô Severo	45	NO PRICE PUBLISHED - estimated from Michelin €€ band; 2 or 3-course executive lunch	ESTIMATE (michelin / palacetesevero.com)
