City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Michelin_Url,Website,Sources,Description
Porto,OMA,Bib Gourmand,,,,,,Contemporary,A moderate spend,2,"Rua De Oliveira Monteiro, 183, Porto, 4050-442, Portugal",+351 912 000 099,,,https://guide.michelin.com/en/porto-region/porto/restaurant/oma-1203846,,Michelin,"This establishment is run by Chef Luís Moreira and his partner, Ana Silveira, who recently left a small village to venture into urban life in Porto — and there is no doubt they have been warmly welcomed. They both aim to share their experiences in the different cities where they have lived, including Germany (hence the name of the restaurant, meaning “grandmother” in German). The chef offers a style of cooking that blends local produce with modern techniques, imparting a personal flair. Here, a journey of flavours is guaranteed, beginning with Asia (a destination the chef hopes to explore) via one of the appetisers: a Chawanmushi with tuna and dashi. It then heads to Portugal, featuring National beef sirloin with roasted aubergine, bomba rice and wild mushrooms, and concludes in the Azores, with a dessert of pineapple, pink peppercorns and mascarpone."
Porto,Pátio 44,Bib Gourmand,,,,,,Traditional Cuisine,On a budget,1,"Passeio De São Lázaro, 44, Porto, 4000 508, Portugal",+351 910 524 754,,,https://guide.michelin.com/en/porto-region/porto/restaurant/patio-44,,Michelin,"A restaurant that pleasantly surprises, both for the skill and quality of its produce and for its unassuming façade. This venture, conceived by three friends who crossed paths behind the scenes during a previous project, is led by chef Simão Soares in the kitchen and focuses on traditional Portuguese cuisine, enriched with modern techniques and unique flavours. In a space that reflects the philosophy – simple, welcoming and unpretentious – a concise yet distinctive menu is presented, featuring standout dishes such as sweet potato with beetroot, beef liver served with potato mille-feuille, and the delicate rum and sultana dessert. The venue also features an outdoor terrace, perfect for sunny days and for enjoying one of the creative cocktails on offer!"
Porto,Almeja,Selected,,,,,,Contemporary,A moderate spend,2,"Rua Fernandes Tomás 819, Porto, 4000-219, Portugal",+351 22 203 8120,,,https://guide.michelin.com/en/porto-region/porto/restaurant/almeja,,Michelin,"It’s housed in a building that used to be a traditional coffee and tea shop on the outskirts of Bolhão (the place that gives its name to one of its executive menus). Chef João Cura, after gaining experience in prestigious restaurants in Spain, decided to embark on his own project alongside his wife, Sofia Amaral — who runs the dining room. The concept is grounded in seasonal cuisine and, before designing the menu, the freshest products are selected from local producers. Originality and flavour abound in the chef’s signature creations, which can be enjoyed as a 10-course tasting menu, the Bolhão and Trindade menus (available only on weekdays), or à la carte options. Enjoy the experience in the garden — it’s charming!"
Porto,Apego,Selected,,,,,,Creative,A moderate spend,2,"Rua de Santa Catarina 1198, Porto, 4000-457, Portugal",+351 937 172 342,,,https://guide.michelin.com/en/porto-region/porto/restaurant/apego,,Michelin,"Allow yourself to be won over by this small bistro, a little away from the city centre yet with a welcoming atmosphere, endowed with special charm and singular décor. Here, the talented Chef Aurora Goy pays homage to her Luso-French roots and explores unique flavours through refined techniques, enhancing both taste and presentation. The offering comprises two tasting menus, Apego (“Attachment”) – 5 courses – and Desapego (“Detachment”) – 7 courses – essentially based on vegetables from local producers. A recommendation? Add to your experience the hake ravioli, prawn crudo, miso aubergine and bisque, and the 70 % Costa Rican chocolate with yuzu, kumquat and bacon ice cream… you certainly won’t regret it!"
Porto,Atrevo,Selected,,,,,,Contemporary,A moderate spend,2,"Rua de Morgado de Mateus 51, Porto, 4000-334, Portugal",+351 934 214 652,,,https://guide.michelin.com/en/porto-region/porto/restaurant/atrevo,,Michelin,"The name says almost everything; however, if you still have doubts, there is nothing better to clarify its philosophy than the words of chef Rita Magro herself, who leads the project: “Nothing is too bold for those who dare to try everything”. Indeed, after being recognised with the MICHELIN Young Chef Award 2024 (when she was chef Vítor Matos’s right-hand at Blind), we see that… Rita Magro is now flying solo! The venue, rather compact, unfolds across three clearly distinct spaces: a front room with a support counter, a small room at the back and, lastly, the kitchen, fitted with a Japanese-style counter where you can also sit to watch her work up close. The offering, with à la carte service (we really enjoyed her Cachaço de bacalhau (salt-cod collar), açorda (bread-and-garlic mash, tomato, yolk & coriander) and a tasting menu (Atrevido, with 6 courses ), is the work of a contemporary kitchen that exalts Portugal’s culinary essence while incorporating a few fusion touches."
Porto,Bistrô Severo,Selected,,,,,,Traditional Cuisine,A moderate spend,2,"Rua De Ricardo Severo 141, Porto, 4050-515, Portugal",+351 22 967 7000,,,https://guide.michelin.com/en/porto-region/porto/restaurant/bistro-severo,,Michelin,"If you are seeking a small oasis of tranquillity in the city for a meal, there is an excellent option at Palacete Severo, a welcoming boutique hotel that houses both this restaurant and the gastronomic Éon. Taken together, it reflects chef Tiago Bonito’s more informal proposal, set in a pleasant interior courtyard with a panoramic glass roof, walls beautifully decorated with Portuguese tiles and a lovely fountain to one side. The proposal, which champions traditional cooking with dishes such as Amêijoas à “Bulhão Pato” (clams in a garlic-and-coriander sauce) or Paletilha de cordeiro de leite (suckling lamb shank), is complemented by an enticing executive lunch menu (you may choose between 2 or 3 courses)."
Porto,Cafeína,Selected,,,,,,International,A moderate spend,2,"Rua do Padrão 100, Porto, 4150-557, Portugal",+351 22 610 8059,,,https://guide.michelin.com/en/porto-region/porto/restaurant/cafeina,,Michelin,"This is the first restaurant of the Cafeína Group, boasting 30 years of operation. Set on a corner between Rua do Padrão and Rua Gondarém, it occupies an old villa that retains its façade of tiles, still in pristine condition. Upon entering, you’ll find a classy, refined setting, marked by dark woods and warm hues, along with a traditionally styled bar. The bistronomie concept that defines it is clearly influenced by French cuisine, while also revisiting Portuguese dishes with a contemporary twist. Although the menu is packed with appealing options, ranging from puff pastry lobster soup to duck rice, be sure to save room for the “Cafeína classic”, the Crepe queimado (Crepe flambée), prepared with surprising flavours and textures."
Porto,Camilo,Selected,,,,,,Contemporary,Special occasion,3,"Rua do Almada, 378, Porto, 4050-033, Portugal",+351 915 299 442,,,https://guide.michelin.com/en/porto-region/porto/restaurant/camilo,,Michelin,"This building was the backdrop to one of the most emblematic novels of Portuguese literature, as it was here that the writer Camilo Castelo Branco would meet his beloved Ana Plácido. In this establishment, spread over two storeys and with an open kitchen visible from the entrance, chef Diogo Coimbra presents contemporary cuisine with international influences, devised from national produce and placing fire and embers centre stage. Its concise menu features specialities such as Peixe curado (cured fish) accompanied by ikura roe and wakame seaweed and the succulent Magre de pato (duck magret) served in various forms according to the season… even with truffle. Alongside each dish on the menu, you will find a wine suggestion to pair with your choice!"
Porto,Cozinha das Flores,Selected,,,,,,Modern Cuisine,Special occasion,3,"Largo São Domingos 62, Porto, 4050-545, Portugal",+351 22 976 0001,,,https://guide.michelin.com/en/porto-region/porto/restaurant/cozinha-das-flores,,Michelin,"Set within the luxurious boutique hotel The Largo, on the emblematic Largo de São Domingos, this restaurant pays homage to northern flavours, uniting tradition and innovation. With renowned chef Nuno Mendes at the helm, this welcoming space is a true spur to conviviality, thanks to its vibrant, intimate atmosphere around the open kitchen, where fire is the protagonist. From the tables, turned towards this culinary stage, it is possible to follow the preparation of a menu that favours seasonal ingredients, with dishes such as the Pastel de Nata (salgado) [a savoury take on the custard tart] with turnip cream and caviar, the Arroz caldoso do Sado (soupy rice) with blue lobster from Matosinhos—a fine option to share—and the surprising dessert Leite [a milk‑themed dessert], crafted from this ingredient in different textures—extremely light, delicate and packed with flavour!"
Porto,Elemento,Selected,,,,,yes,Modern Cuisine,Special occasion,3,"Rua do Almada 51, Porto, 4050-036, Portugal",+351 22 492 8193,41.1465149,-8.6122347,https://guide.michelin.com/en/porto-region/porto/restaurant/elemento,https://elementoporto.com/,Michelin; Michelin wine list,"Chef Ricardo Dias Ferreira has unashamedly gone back to basics here, cooking exclusively over wood, to such an extent that he rarely uses the grill or oven. With his combination of traditional Portuguese cuisine, smoky flavours and modern touches, he offers à la carte options alongside an “8-moment” tasting menu, and his cuisine varies from day to day depending on the availability of ingredients from small-scale local producers. Allow yourself to be guided by recommendations from the interesting selection of Portuguese wines, and if you’re keen to enjoy the experience to the full, take a seat at the counter in front of the kitchen so you can watch the chefs in action at close quarters."
Porto,Fauno,Selected,,,,,,Contemporary,A moderate spend,2,"Rua Estreita de Lóios 5, Porto, 4050-244, Portugal",+351 22 319 5394,,,https://guide.michelin.com/en/porto-region/porto/restaurant/fauno,,Michelin,"Behind the retro-style green glass doors of this restaurant, set on one of the city’s narrow streets, you will find a unique culinary space, led by brothers Pedro Amorim (sommelier) and Tiago Amorim (chef), who are launching their first joint project here. The cuisine focuses on a single tasting menu, which continually evolves in line with the seasons and the availability of local producers’ ingredients, showcased in dishes characterised by flawless execution and refined taste. For an even more surprising experience, pair each dish with the intriguing wine selection — mostly natural wines!"
Porto,Izakaya Japanese Cuisine,Selected,,,,,,Japanese,Special occasion,3,"Rua do Barão De São Cosme 96, Porto, 4000 500, Portugal",+351 934 337 690,,,https://guide.michelin.com/en/porto-region/porto/restaurant/izakaya-japanese-cuisine,,Michelin,"This small establishment sits in the bohemian, unhurried Bonfim neighbourhood, where Pedro Ribeiro, front of house, and Rubén Mesquita, responsible for the culinary proposal, grew up. The chef, who nurtures a passion for Japanese culture and gastronomy (he tends to travel to Japan a few times a year in search of new inspirations and products), advocates a notably purist Japanese cuisine, albeit with a light contemporary touch, grounded in regional fish (most from the Matosinhos fish market and some aged), and pairing them with other imported ingredients. The 12 diners per sitting, whether at the tables or the counter, should surrender to a daily-changing Omakase (chef’s-choice) menu."
Porto,Kaigi,Selected,,,,,,Japanese,A moderate spend,2,"Rua De Eugénio De Castro 226, Porto, 4100-225, Portugal",+351 938 410 124,,,https://guide.michelin.com/en/porto-region/porto/restaurant/kaigi,,Michelin,"Following something of the philosophy of traditional Japanese izakayas, this restaurant, located on the ground floor of a residential building on the outskirts of the historic centre, revolves entirely around a large, U-shaped sushi counter that can seat 16 diners. What is found here? An intriguing Japanese-Portuguese fusion cuisine, offered in an exclusive nine-course tasting menu based on the best ingredients of the day. The atmosphere is welcoming and the flavours are surprising!"
Porto,Liz,Selected,,,,,,Contemporary,A moderate spend,2,"Rua de Mota Pinto 170, Porto, 4100-354, Portugal",+351 22 616 8024,,,https://guide.michelin.com/en/porto-region/porto/restaurant/liz,,Michelin,"In this cosy bistro-style restaurant, away from the bustle of the city centre, chef Daniel Carvalheira pays homage to his daughter and presents a highly gastronomic proposal, demonstrating a high level of technical mastery. In an intimate space lit by candlelight, the chef offers a tasting menu that blends his Mozambican and Portuguese roots with French cuisine, revealing flavourful dishes and refined presentations. Through a proposal based on seasonal products, delicacies arise such as pink coastal prawns with curry, adorned with crunchy cubes of guanciale and roasted‑lemon paste, monkfish served over a dashi beurre blanc with a creamy broccoli purée and, at the end, a little journey to the Azores archipelago, with pineapple and São Jorge cheese—an elegant, gentle finale!"
Porto,Tokkotai,Selected,,,,,,Japanese,A moderate spend,2,"Rua do Comércio do Porto, 144, Porto, 4050 209, Portugal",+351 913 037 171,,,https://guide.michelin.com/en/porto-region/porto/restaurant/tokkotai,,Michelin,"Technique, flavour, fusion and connectivity are the words that spring to mind on entering this restaurant. Here, the Brazilian chef Paulo César works with East Asian techniques and fresh ingredients that deliver maximum flavour to the palate. The offering appears as an à la carte menu and two tasting menus: Chef’s Experience (created with seasonal produce) and Tokkotai Experience (a selection of the chef’s favourite dishes). Don’t miss the cocktails—they’re works of art in their own right!"
